fold,mse,mae,r2,train_samples,test_samples
1,0.34358162006857773,0.47231970331095235,-0.9461291692009848,90,88
2,1.1443275313539807,0.8997050575327482,0.02743517654181049,178,88
3,2.561183039178143,1.2002206184482462,-0.14553531316747126,266,88
4,0.6677198687337144,0.7011696175367548,-1.3014656297866667,354,88
5,1.3804357737372017,0.8681464818350773,-0.07062872994375002,442,88
