position_id,symbol,direction,quantity,entry_price,entry_time,exit_price,exit_time,is_open,pnl,realized_pnl,unrealized_pnl,exit_reason,stop_loss,take_profit,order_id
GBPUSD_20240917000000_LONG,GBPUSD,LONG,1.0,1.32092,2024-09-17,1.33123,2024-09-23,False,0.01030999999999982,0.01030999999999982,0.0,TRADE,,,
GBPUSD_20240924000000_LONG,GBPUSD,LONG,1.0,1.33455,2024-09-24,1.3321,2024-09-26,False,-0.002449999999999841,-0.002449999999999841,0.0,TRADE,,,
GBPUSD_20240927000000_LONG,GBPUSD,LONG,1.0,1.33818,2024-09-27,1.33779,2024-10-01,False,-0.00038999999999989043,-0.00038999999999989043,0.0,TRADE,,,
GBPUSD_20241006000000_LONG,GBPUSD,LONG,1.0,1.31153,2024-10-06,1.30886,2024-10-08,False,-0.0026700000000001722,-0.0026700000000001722,0.0,TRADE,,,
GBPUSD_20241013000000_LONG,GBPUSD,LONG,1.0,1.30658,2024-10-13,1.30429,2024-10-14,False,-0.0022900000000001253,-0.0022900000000001253,0.0,TRADE,,,
GBPUSD_20241020000000_LONG,GBPUSD,LONG,1.0,1.3048,2024-10-20,1.29644,2024-10-27,False,-0.008359999999999923,-0.008359999999999923,0.0,TRADE,,,
GBPUSD_20241111000000_LONG,GBPUSD,LONG,1.0,1.29116,2024-11-11,1.27374,2024-11-13,False,-0.01741999999999999,-0.01741999999999999,0.0,TRADE,,,
GBPUSD_20241114000000_LONG,GBPUSD,LONG,1.0,1.27079,2024-11-14,1.26649,2024-11-15,False,-0.0043000000000001926,-0.0043000000000001926,0.0,TRADE,,,
GBPUSD_20241201000000_LONG,GBPUSD,LONG,1.0,1.27299,2024-12-01,1.26958,2024-12-02,False,-0.003410000000000135,-0.003410000000000135,0.0,TRADE,,,
GBPUSD_20241208000000_LONG,GBPUSD,LONG,1.0,1.27382,2024-12-08,1.27439,2024-12-09,False,0.0005699999999999594,0.0005699999999999594,0.0,TRADE,,,
GBPUSD_20241215000000_LONG,GBPUSD,LONG,1.0,1.26158,2024-12-15,1.26933,2024-12-17,False,0.007750000000000146,0.007750000000000146,0.0,TRADE,,,
