epic,resolution,t,datetime,open,high,low,close,open_raw,high_raw,low_raw,close_raw,open_original,high_original,low_original,close_original,volume
GBPUSD,MINUTE,1745473500000.0,2025-04-24 05:45:00,1.326965,1.327065,1.3269549999999999,1.327065,1.326965,1.327065,1.3269549999999999,1.327065,1.326965,1.327065,1.3269549999999999,1.327065,36
GBPUSD,MINUTE,1745473560000.0,2025-04-24 05:46:00,1.327075,1.327075,1.326965,1.327065,1.327075,1.327075,1.326965,1.327065,1.327075,1.327075,1.326965,1.327065,36
GBPUSD,MINUTE,1745473620000.0,2025-04-24 05:47:00,1.327055,1.327065,1.3269549999999999,1.326965,1.327055,1.327065,1.3269549999999999,1.326965,1.327055,1.327065,1.3269549999999999,1.326965,8
GBPUSD,MINUTE,1745473680000.0,2025-04-24 05:48:00,1.3269549999999999,1.326975,1.326865,1.326895,1.3269549999999999,1.326975,1.326865,1.326895,1.3269549999999999,1.326975,1.326865,1.326895,38
GBPUSD,MINUTE,1745473740000.0,2025-04-24 05:49:00,1.326905,1.326925,1.326865,1.326865,1.326905,1.326925,1.326865,1.326865,1.326905,1.326925,1.326865,1.326865,40
GBPUSD,MINUTE,1745473800000.0,2025-04-24 05:50:00,1.3268550000000001,1.326895,1.326785,1.326865,1.3268550000000001,1.326895,1.326785,1.326865,1.3268550000000001,1.326895,1.326785,1.326865,24
GBPUSD,MINUTE,1745473860000.0,2025-04-24 05:51:00,1.326885,1.326965,1.326885,1.326965,1.326885,1.326965,1.326885,1.326965,1.326885,1.326965,1.326885,1.326965,14
GBPUSD,MINUTE,1745473920000.0,2025-04-24 05:52:00,1.3269549999999999,1.326965,1.3269549999999999,1.3269549999999999,1.3269549999999999,1.326965,1.3269549999999999,1.3269549999999999,1.3269549999999999,1.326965,1.3269549999999999,1.3269549999999999,5
GBPUSD,MINUTE,1745473980000.0,2025-04-24 05:53:00,1.326965,1.327055,1.326965,1.326995,1.326965,1.327055,1.326965,1.326995,1.326965,1.327055,1.326965,1.326995,36
GBPUSD,MINUTE,1745474040000.0,2025-04-24 05:54:00,1.327005,1.327105,1.326995,1.327095,1.327005,1.327105,1.326995,1.327095,1.327005,1.327105,1.326995,1.327095,16
GBPUSD,MINUTE,1745474100000.0,2025-04-24 05:55:00,1.327075,1.327205,1.327075,1.327155,1.327075,1.327205,1.327075,1.327155,1.327075,1.327205,1.327075,1.327155,37
GBPUSD,MINUTE,1745474160000.0,2025-04-24 05:56:00,1.327145,1.327165,1.327145,1.327155,1.327145,1.327165,1.327145,1.327155,1.327145,1.327165,1.327145,1.327155,24
GBPUSD,MINUTE,1745474220000.0,2025-04-24 05:57:00,1.327165,1.327185,1.327155,1.327185,1.327165,1.327185,1.327155,1.327185,1.327165,1.327185,1.327155,1.327185,24
GBPUSD,MINUTE,1745474280000.0,2025-04-24 05:58:00,1.327175,1.327265,1.327105,1.327115,1.327175,1.327265,1.327105,1.327115,1.327175,1.327265,1.327105,1.327115,28
GBPUSD,MINUTE,1745474340000.0,2025-04-24 05:59:00,1.327105,1.327185,1.327005,1.327015,1.327105,1.327185,1.327005,1.327015,1.327105,1.327185,1.327005,1.327015,58
GBPUSD,MINUTE,1745474400000.0,2025-04-24 06:00:00,1.327035,1.3272249999999999,1.3269549999999999,1.3272249999999999,1.327035,1.3272249999999999,1.3269549999999999,1.3272249999999999,1.327035,1.3272249999999999,1.3269549999999999,1.3272249999999999,46
GBPUSD,MINUTE,1745474460000.0,2025-04-24 06:01:00,1.327215,1.327235,1.327135,1.327155,1.327215,1.327235,1.327135,1.327155,1.327215,1.327235,1.327135,1.327155,42
GBPUSD,MINUTE,1745474520000.0,2025-04-24 06:02:00,1.327145,1.327145,1.326935,1.3269549999999999,1.327145,1.327145,1.326935,1.3269549999999999,1.327145,1.327145,1.326935,1.3269549999999999,59
GBPUSD,MINUTE,1745474580000.0,2025-04-24 06:03:00,1.326945,1.3269549999999999,1.326645,1.326695,1.326945,1.3269549999999999,1.326645,1.326695,1.326945,1.3269549999999999,1.326645,1.326695,39
GBPUSD,MINUTE,1745474640000.0,2025-04-24 06:04:00,1.326715,1.3269549999999999,1.326715,1.3269549999999999,1.326715,1.3269549999999999,1.326715,1.3269549999999999,1.326715,1.3269549999999999,1.326715,1.3269549999999999,59
GBPUSD,MINUTE,1745474700000.0,2025-04-24 06:05:00,1.326965,1.327125,1.3269549999999999,1.327075,1.326965,1.327125,1.3269549999999999,1.327075,1.326965,1.327125,1.3269549999999999,1.327075,33
GBPUSD,MINUTE,1745474760000.0,2025-04-24 06:06:00,1.327055,1.327155,1.3269549999999999,1.327155,1.327055,1.327155,1.3269549999999999,1.327155,1.327055,1.327155,1.3269549999999999,1.327155,23
GBPUSD,MINUTE,1745474820000.0,2025-04-24 06:07:00,1.327175,1.3271950000000001,1.327145,1.327165,1.327175,1.3271950000000001,1.327145,1.327165,1.327175,1.3271950000000001,1.327145,1.327165,35
GBPUSD,MINUTE,1745474880000.0,2025-04-24 06:08:00,1.327155,1.327165,1.327055,1.327155,1.327155,1.327165,1.327055,1.327155,1.327155,1.327165,1.327055,1.327155,33
GBPUSD,MINUTE,1745474940000.0,2025-04-24 06:09:00,1.327165,1.327265,1.327155,1.327265,1.327165,1.327265,1.327155,1.327265,1.327165,1.327265,1.327155,1.327265,22
GBPUSD,MINUTE,1745475000000.0,2025-04-24 06:10:00,1.327255,1.327285,1.327155,1.327155,1.327255,1.327285,1.327155,1.327155,1.327255,1.327285,1.327155,1.327155,34
GBPUSD,MINUTE,1745475060000.0,2025-04-24 06:11:00,1.327165,1.327255,1.327155,1.327255,1.327165,1.327255,1.327155,1.327255,1.327165,1.327255,1.327155,1.327255,37
GBPUSD,MINUTE,1745475120000.0,2025-04-24 06:12:00,1.327265,1.327285,1.327165,1.327275,1.327265,1.327285,1.327165,1.327275,1.327265,1.327285,1.327165,1.327275,44
GBPUSD,MINUTE,1745475180000.0,2025-04-24 06:13:00,1.327285,1.327325,1.327255,1.327275,1.327285,1.327325,1.327255,1.327275,1.327285,1.327325,1.327255,1.327275,40
GBPUSD,MINUTE,1745475240000.0,2025-04-24 06:14:00,1.327265,1.327265,1.327145,1.327145,1.327265,1.327265,1.327145,1.327145,1.327265,1.327265,1.327145,1.327145,31
GBPUSD,MINUTE,1745475300000.0,2025-04-24 06:15:00,1.327155,1.327215,1.327155,1.327185,1.327155,1.327215,1.327155,1.327185,1.327155,1.327215,1.327155,1.327185,22
GBPUSD,MINUTE,1745475360000.0,2025-04-24 06:16:00,1.3271950000000001,1.3271950000000001,1.327075,1.327075,1.3271950000000001,1.3271950000000001,1.327075,1.327075,1.3271950000000001,1.3271950000000001,1.327075,1.327075,29
GBPUSD,MINUTE,1745475420000.0,2025-04-24 06:17:00,1.327095,1.327165,1.327085,1.327105,1.327095,1.327165,1.327085,1.327105,1.327095,1.327165,1.327085,1.327105,16
GBPUSD,MINUTE,1745475480000.0,2025-04-24 06:18:00,1.327095,1.327215,1.327055,1.327155,1.327095,1.327215,1.327055,1.327155,1.327095,1.327215,1.327055,1.327155,52
GBPUSD,MINUTE,1745475540000.0,2025-04-24 06:19:00,1.327145,1.327165,1.327145,1.327155,1.327145,1.327165,1.327145,1.327155,1.327145,1.327165,1.327145,1.327155,10
GBPUSD,MINUTE,1745475600000.0,2025-04-24 06:20:00,1.327165,1.3272249999999999,1.327085,1.327105,1.327165,1.3272249999999999,1.327085,1.327105,1.327165,1.3272249999999999,1.327085,1.327105,20
GBPUSD,MINUTE,1745475660000.0,2025-04-24 06:21:00,1.327095,1.327165,1.327065,1.327085,1.327095,1.327165,1.327065,1.327085,1.327095,1.327165,1.327065,1.327085,53
GBPUSD,MINUTE,1745475720000.0,2025-04-24 06:22:00,1.327075,1.327155,1.326965,1.326965,1.327075,1.327155,1.326965,1.326965,1.327075,1.327155,1.326965,1.326965,37
GBPUSD,MINUTE,1745475780000.0,2025-04-24 06:23:00,1.326975,1.326975,1.326905,1.326905,1.326975,1.326975,1.326905,1.326905,1.326975,1.326975,1.326905,1.326905,16
GBPUSD,MINUTE,1745475840000.0,2025-04-24 06:24:00,1.326915,1.326975,1.326875,1.326965,1.326915,1.326975,1.326875,1.326965,1.326915,1.326975,1.326875,1.326965,17
GBPUSD,MINUTE,1745475900000.0,2025-04-24 06:25:00,1.3269549999999999,1.327015,1.3269549999999999,1.326985,1.3269549999999999,1.327015,1.3269549999999999,1.326985,1.3269549999999999,1.327015,1.3269549999999999,1.326985,16
GBPUSD,MINUTE,1745475960000.0,2025-04-24 06:26:00,1.326975,1.326985,1.326925,1.326965,1.326975,1.326985,1.326925,1.326965,1.326975,1.326985,1.326925,1.326965,18
GBPUSD,MINUTE,1745476020000.0,2025-04-24 06:27:00,1.326975,1.326985,1.326905,1.326915,1.326975,1.326985,1.326905,1.326915,1.326975,1.326985,1.326905,1.326915,19
GBPUSD,MINUTE,1745476080000.0,2025-04-24 06:28:00,1.326905,1.326915,1.3268550000000001,1.326875,1.326905,1.326915,1.3268550000000001,1.326875,1.326905,1.326915,1.3268550000000001,1.326875,46
GBPUSD,MINUTE,1745476140000.0,2025-04-24 06:29:00,1.326865,1.326885,1.326845,1.326865,1.326865,1.326885,1.326845,1.326865,1.326865,1.326885,1.326845,1.326865,35
GBPUSD,MINUTE,1745476200000.0,2025-04-24 06:30:00,1.326875,1.326965,1.3268550000000001,1.326915,1.326875,1.326965,1.3268550000000001,1.326915,1.326875,1.326965,1.3268550000000001,1.326915,35
GBPUSD,MINUTE,1745476260000.0,2025-04-24 06:31:00,1.326925,1.326975,1.326915,1.326965,1.326925,1.326975,1.326915,1.326965,1.326925,1.326975,1.326915,1.326965,29
GBPUSD,MINUTE,1745476320000.0,2025-04-24 06:32:00,1.326975,1.327005,1.326875,1.326925,1.326975,1.327005,1.326875,1.326925,1.326975,1.327005,1.326875,1.326925,36
