epic,resolution,t,datetime,o,h,l,c,spread
GBPUSD,MINUTE,1744206180000,2025-04-09 15:43:00,1.278525,1.278695,1.278375,1.278385,0.00013000000000018552
GBPUSD,MINUTE,1744206240000,2025-04-09 15:44:00,1.278375,1.278585,1.278095,1.278345,0.00012999999999996348
