epic,resolution,t,datetime,open,high,low,close,spread,volume
GBPUSD,MINUTE,1744220340000,2025-04-09 19:39:00,1.2782149999999999,1.278465,1.277565,1.277855,0.00012999999999996348,8999
GBPUSD,MINUTE,1744220400000,2025-04-09 19:40:00,1.277835,1.278355,1.277355,1.278075,0.00012999999999996348,9999
GBPUSD,MINUTE,1744220460000,2025-04-09 19:41:00,1.278065,1.278545,1.277885,1.278525,0.00012999999999996348,6600
GBPUSD,MINUTE,1744220520000,2025-04-09 19:42:00,1.278535,1.278535,1.277975,1.278245,0.00012999999999996348,5599
GBPUSD,MINUTE,1744220580000,2025-04-09 19:43:00,1.2782499999999999,1.278685,1.278005,1.278095,0.00012999999999996348,6800
GBPUSD,MINUTE,1744220640000,2025-04-09 19:44:00,1.278075,1.278655,1.277775,1.278175,0.00012999999999996348,8799
GBPUSD,MINUTE,1744220700000,2025-04-09 19:45:00,1.278165,1.279455,1.278025,1.2790650000000001,0.00013000000000018552,14300
GBPUSD,MINUTE,1744220760000,2025-04-09 19:46:00,1.279075,1.279945,1.279075,1.279835,0.00012999999999996348,8700
GBPUSD,MINUTE,1744220820000,2025-04-09 19:47:00,1.279825,1.280475,1.279275,1.280475,0.00012999999999996348,12000
GBPUSD,MINUTE,1744220880000,2025-04-09 19:48:00,1.280485,1.281205,1.280115,1.281165,0.00013000000000018552,10900
GBPUSD,MINUTE,1744220940000,2025-04-09 19:49:00,1.281185,1.28214,1.281185,1.281955,0.00012999999999996348,9550
GBPUSD,MINUTE,1744221000000,2025-04-09 19:50:00,1.2819699999999998,1.282045,1.280815,1.281325,0.00012999999999996348,12300
GBPUSD,MINUTE,1744221060000,2025-04-09 19:51:00,1.281315,1.281405,1.280725,1.281125,0.00012999999999996348,6800
GBPUSD,MINUTE,1744221120000,2025-04-09 19:52:00,1.281135,1.281195,1.280295,1.280635,0.00012999999999996348,9000
GBPUSD,MINUTE,1744221180000,2025-04-09 19:53:00,1.280615,1.281135,1.280225,1.280345,0.00012999999999996348,9099
GBPUSD,MINUTE,1744220040000,2025-04-09 19:34:00,1.274805,1.275945,1.274775,1.275825,0.00012999999999996348,11700
GBPUSD,MINUTE,1744220100000,2025-04-09 19:35:00,1.275815,1.276775,1.275755,1.276295,0.00012999999999996348,10200
GBPUSD,MINUTE,1744220160000,2025-04-09 19:36:00,1.2762850000000001,1.276545,1.276075,1.276295,0.00012999999999996348,4699
GBPUSD,MINUTE,1744220220000,2025-04-09 19:37:00,1.2762850000000001,1.277595,1.276265,1.277095,0.00012999999999996348,13300
GBPUSD,MINUTE,1744220280000,2025-04-09 19:38:00,1.277105,1.278255,1.276795,1.278175,0.00012999999999996348,14600
GBPUSD,MINUTE,1744220340000,2025-04-09 19:39:00,1.2782149999999999,1.278465,1.277565,1.277855,0.00012999999999996348,8999
GBPUSD,MINUTE,1744220400000,2025-04-09 19:40:00,1.277835,1.278355,1.277355,1.278075,0.00012999999999996348,9999
GBPUSD,MINUTE,1744220460000,2025-04-09 19:41:00,1.278065,1.278545,1.277885,1.278525,0.00012999999999996348,6600
GBPUSD,MINUTE,1744220520000,2025-04-09 19:42:00,1.278535,1.278535,1.277975,1.278245,0.00012999999999996348,5599
GBPUSD,MINUTE,1744220580000,2025-04-09 19:43:00,1.2782499999999999,1.278685,1.278005,1.278095,0.00012999999999996348,6800
GBPUSD,MINUTE,1744220640000,2025-04-09 19:44:00,1.278075,1.278655,1.277775,1.278175,0.00012999999999996348,8799
GBPUSD,MINUTE,1744220700000,2025-04-09 19:45:00,1.278165,1.279455,1.278025,1.2790650000000001,0.00013000000000018552,14300
GBPUSD,MINUTE,1744220760000,2025-04-09 19:46:00,1.279075,1.279945,1.279075,1.279835,0.00012999999999996348,8700
GBPUSD,MINUTE,1744220820000,2025-04-09 19:47:00,1.279825,1.280475,1.279275,1.280475,0.00012999999999996348,12000
GBPUSD,MINUTE,1744220880000,2025-04-09 19:48:00,1.280485,1.281205,1.280115,1.281165,0.00013000000000018552,10900
GBPUSD,MINUTE,1744220940000,2025-04-09 19:49:00,1.281185,1.28214,1.281185,1.281955,0.00012999999999996348,9550
GBPUSD,MINUTE,1744221000000,2025-04-09 19:50:00,1.2819699999999998,1.282045,1.280815,1.281325,0.00012999999999996348,12300
GBPUSD,MINUTE,1744221060000,2025-04-09 19:51:00,1.281315,1.281405,1.280725,1.281125,0.00012999999999996348,6800
GBPUSD,MINUTE,1744221120000,2025-04-09 19:52:00,1.281135,1.281195,1.280295,1.280635,0.00012999999999996348,9000
GBPUSD,MINUTE,1744221180000,2025-04-09 19:53:00,1.280615,1.281135,1.280225,1.280345,0.00012999999999996348,9099
GBPUSD,MINUTE,1744221240000,2025-04-09 19:54:00,1.280335,1.280865,1.279865,1.280075,0.00012999999999996348,9999
GBPUSD,MINUTE,1744221300000,2025-04-09 19:55:00,1.280085,1.280085,1.279105,1.279545,0.00012999999999996348,9799
GBPUSD,MINUTE,1744221360000,2025-04-09 19:56:00,1.279515,1.280005,1.279285,1.279695,0.00012999999999996348,7200
GBPUSD,MINUTE,1744221420000,2025-04-09 19:57:00,1.279685,1.280055,1.279475,1.279735,0.00012999999999996348,5800
GBPUSD,MINUTE,1744221480000,2025-04-09 19:58:00,1.279725,1.279725,1.279145,1.279155,0.00012999999999996348,5800
GBPUSD,MINUTE,1744221540000,2025-04-09 19:59:00,1.279135,1.2792849999999998,1.2787000000000002,1.27909,0.0004999999999999449,5849
