epic,resolution,t,datetime,open,high,low,close,volume
GBPUSD,MINUTE,1744283880000.0,2025-04-10 11:18:00,1.287225,1.287515,1.287145,1.287365,140
GBPUSD,MINUTE,1744283940000.0,2025-04-10 11:19:00,1.287355,1.287535,1.287195,1.287275,157
GBPUSD,MINUTE,1744284000000.0,2025-04-10 11:20:00,1.287265,1.287295,1.286965,1.287055,169
GBPUSD,MINUTE,1744284060000.0,2025-04-10 11:21:00,1.287045,1.287655,1.287045,1.287655,167
GBPUSD,MINUTE,1744284120000.0,2025-04-10 11:22:00,1.2876750000000001,1.287855,1.287505,1.287645,160
GBPUSD,MINUTE,1744284180000.0,2025-04-10 11:23:00,1.287655,1.287775,1.287385,1.287405,135
GBPUSD,MINUTE,1744284240000.0,2025-04-10 11:24:00,1.287385,1.2874349999999999,1.287185,1.287345,151
GBPUSD,MINUTE,1744284300000.0,2025-04-10 11:25:00,1.287355,1.287525,1.287155,1.287495,149
GBPUSD,MINUTE,1744284360000.0,2025-04-10 11:26:00,1.287485,1.287565,1.287225,1.287245,131
GBPUSD,MINUTE,1744284420000.0,2025-04-10 11:27:00,1.287255,1.287285,1.286835,1.287025,139
GBPUSD,MINUTE,1744284480000.0,2025-04-10 11:28:00,1.287035,1.287135,1.286765,1.286855,125
GBPUSD,MINUTE,1744284540000.0,2025-04-10 11:29:00,1.286865,1.286885,1.286585,1.286655,125
GBPUSD,MINUTE,1744284600000.0,2025-04-10 11:30:00,1.286665,1.286845,1.286655,1.286705,128
GBPUSD,MINUTE,1744284660000.0,2025-04-10 11:31:00,1.2867250000000001,1.287105,1.2867250000000001,1.287055,105
GBPUSD,MINUTE,1744284720000.0,2025-04-10 11:32:00,1.2870650000000001,1.287135,1.286945,1.287055,118
GBPUSD,MINUTE,1744284780000.0,2025-04-10 11:33:00,1.287045,1.287075,1.2864849999999999,1.286555,158
GBPUSD,MINUTE,1744284840000.0,2025-04-10 11:34:00,1.286575,1.286635,1.286175,1.286185,160
GBPUSD,MINUTE,1744284900000.0,2025-04-10 11:35:00,1.286205,1.286515,1.286135,1.286415,138
GBPUSD,MINUTE,1744284960000.0,2025-04-10 11:36:00,1.286405,1.286935,1.286405,1.286745,120
GBPUSD,MINUTE,1744285020000.0,2025-04-10 11:37:00,1.286765,1.286855,1.286445,1.286665,127
GBPUSD,MINUTE,1744285080000.0,2025-04-10 11:38:00,1.286655,1.287015,1.286635,1.286775,144
