epic,resolution,t,datetime,open,high,low,close,spread
GBPUSD,MINUTE,1744217580000,2025-04-09 18:53:00,1.276735,1.276805,1.276525,1.2766549999999999,0.00013000000000018552
GBPUSD,MINUTE,1744217640000,2025-04-09 18:54:00,1.276665,1.276785,1.276555,1.276745,0.00012999999999996348
GBPUSD,MINUTE,1744217700000,2025-04-09 18:55:00,1.276735,1.276735,1.276455,1.276465,0.00012999999999996348
GBPUSD,MINUTE,1744217760000,2025-04-09 18:56:00,1.276455,1.276575,1.276195,1.276535,0.00012999999999996348
GBPUSD,MINUTE,1744217820000,2025-04-09 18:57:00,1.276545,1.276645,1.276415,1.276415,0.00012999999999996348
GBPUSD,MINUTE,1744217880000,2025-04-09 18:58:00,1.276405,1.276405,1.276055,1.276095,0.00012999999999996348
GBPUSD,MINUTE,1744217940000,2025-04-09 18:59:00,1.276085,1.276565,1.276085,1.276535,0.00012999999999996348
GBPUSD,MINUTE,1744218000000,2025-04-09 19:00:00,1.276585,1.276825,1.275395,1.2757450000000001,0.00013000000000018552
GBPUSD,MINUTE,1744218060000,2025-04-09 19:01:00,1.275735,1.2757450000000001,1.275415,1.275625,0.00012999999999996348
GBPUSD,MINUTE,1744218120000,2025-04-09 19:02:00,1.275615,1.277465,1.275615,1.276085,0.00012999999999996348
GBPUSD,MINUTE,1744217580000,2025-04-09 18:53:00,1.276735,1.276805,1.276525,1.2766549999999999,0.00013000000000018552
GBPUSD,MINUTE,1744217640000,2025-04-09 18:54:00,1.276665,1.276785,1.276555,1.276745,0.00012999999999996348
GBPUSD,MINUTE,1744217700000,2025-04-09 18:55:00,1.276735,1.276735,1.276455,1.276465,0.00012999999999996348
GBPUSD,MINUTE,1744217760000,2025-04-09 18:56:00,1.276455,1.276575,1.276195,1.276535,0.00012999999999996348
GBPUSD,MINUTE,1744217820000,2025-04-09 18:57:00,1.276545,1.276645,1.276415,1.276415,0.00012999999999996348
GBPUSD,MINUTE,1744217880000,2025-04-09 18:58:00,1.276405,1.276405,1.276055,1.276095,0.00012999999999996348
GBPUSD,MINUTE,1744217940000,2025-04-09 18:59:00,1.276085,1.276565,1.276085,1.276535,0.00012999999999996348
