epic,resolution,t,datetime,open,high,low,close,volume
GBPUSD,MINUTE,1744362480000.0,2025-04-11 09:08:00,1.305085,1.305115,1.303815,1.303995,293
GBPUSD,MINUTE,1744362540000.0,2025-04-11 09:09:00,1.303985,1.304675,1.303815,1.304025,237
GBPUSD,MINUTE,1744362600000.0,2025-04-11 09:10:00,1.304045,1.304385,1.303865,1.304075,286
GBPUSD,MINUTE,1744362660000.0,2025-04-11 09:11:00,1.304085,1.304775,1.304075,1.304455,254
GBPUSD,MINUTE,1744362720000.0,2025-04-11 09:12:00,1.304475,1.304495,1.303735,1.3038750000000001,241
GBPUSD,MINUTE,1744362780000.0,2025-04-11 09:13:00,1.303885,1.304495,1.303835,1.304205,245
GBPUSD,MINUTE,1744362840000.0,2025-04-11 09:14:00,1.3042150000000001,1.3045849999999999,1.304155,1.304395,231
GBPUSD,MINUTE,1744362900000.0,2025-04-11 09:15:00,1.304405,1.304495,1.303785,1.303885,203
GBPUSD,MINUTE,1744362960000.0,2025-04-11 09:16:00,1.3038750000000001,1.303885,1.303165,1.303255,176
GBPUSD,MINUTE,1744363020000.0,2025-04-11 09:17:00,1.3032650000000001,1.303295,1.302675,1.302775,206
GBPUSD,MINUTE,1744363080000.0,2025-04-11 09:18:00,1.302765,1.302805,1.302525,1.302565,189
GBPUSD,MINUTE,1744363140000.0,2025-04-11 09:19:00,1.302575,1.302775,1.302345,1.302675,200
GBPUSD,MINUTE,1744363200000.0,2025-04-11 09:20:00,1.302665,1.303275,1.302565,1.303275,236
GBPUSD,MINUTE,1744363260000.0,2025-04-11 09:21:00,1.3032650000000001,1.303395,1.303175,1.303385,156
GBPUSD,MINUTE,1744363320000.0,2025-04-11 09:22:00,1.303375,1.304005,1.303375,1.303795,233
GBPUSD,MINUTE,1744363380000.0,2025-04-11 09:23:00,1.303785,1.304465,1.303745,1.304275,213
GBPUSD,MINUTE,1744363440000.0,2025-04-11 09:24:00,1.304255,1.304675,1.304225,1.304675,201
GBPUSD,MINUTE,1744363500000.0,2025-04-11 09:25:00,1.304685,1.305285,1.3044850000000001,1.305205,234
GBPUSD,MINUTE,1744363560000.0,2025-04-11 09:26:00,1.305185,1.305785,1.305165,1.305775,194
GBPUSD,MINUTE,1744363620000.0,2025-04-11 09:27:00,1.305785,1.305865,1.305345,1.3057050000000001,230
GBPUSD,MINUTE,1744363680000.0,2025-04-11 09:28:00,1.305715,1.305715,1.305225,1.3054649999999999,227
GBPUSD,MINUTE,1744363740000.0,2025-04-11 09:29:00,1.305455,1.305455,1.304965,1.305035,226
GBPUSD,MINUTE,1744363800000.0,2025-04-11 09:30:00,1.305015,1.305365,1.304785,1.304835,247
GBPUSD,MINUTE,1744363860000.0,2025-04-11 09:31:00,1.304865,1.305385,1.304445,1.305375,194
GBPUSD,MINUTE,1744363920000.0,2025-04-11 09:32:00,1.305385,1.306385,1.305375,1.306375,279
GBPUSD,MINUTE,1744363980000.0,2025-04-11 09:33:00,1.306385,1.306505,1.305595,1.305725,243
GBPUSD,MINUTE,1744364040000.0,2025-04-11 09:34:00,1.305715,1.306865,1.305665,1.306725,241
GBPUSD,MINUTE,1744364100000.0,2025-04-11 09:35:00,1.306715,1.306875,1.306225,1.306795,250
GBPUSD,MINUTE,1744364160000.0,2025-04-11 09:36:00,1.306785,1.307215,1.306665,1.307205,184
GBPUSD,MINUTE,1744364220000.0,2025-04-11 09:37:00,1.307215,1.307545,1.307135,1.307175,218
GBPUSD,MINUTE,1744364280000.0,2025-04-11 09:38:00,1.307165,1.307165,1.306475,1.306565,278
GBPUSD,MINUTE,1744364340000.0,2025-04-11 09:39:00,1.306555,1.3070249999999999,1.306385,1.306765,235
GBPUSD,MINUTE,1744364400000.0,2025-04-11 09:40:00,1.3067549999999999,1.306765,1.306145,1.306285,203
GBPUSD,MINUTE,1744364460000.0,2025-04-11 09:41:00,1.306275,1.306345,1.305975,1.306155,218
GBPUSD,MINUTE,1744364520000.0,2025-04-11 09:42:00,1.306115,1.306115,1.305585,1.305645,174
GBPUSD,MINUTE,1744364580000.0,2025-04-11 09:43:00,1.305655,1.305695,1.305155,1.305325,208
GBPUSD,MINUTE,1744364640000.0,2025-04-11 09:44:00,1.305335,1.306035,1.305235,1.306025,230
GBPUSD,MINUTE,1744364700000.0,2025-04-11 09:45:00,1.306015,1.306195,1.305745,1.305775,203
GBPUSD,MINUTE,1744364760000.0,2025-04-11 09:46:00,1.305765,1.305765,1.304915,1.304975,234
GBPUSD,MINUTE,1744364820000.0,2025-04-11 09:47:00,1.304965,1.3054649999999999,1.304875,1.305205,204
GBPUSD,MINUTE,1744364880000.0,2025-04-11 09:48:00,1.3051949999999999,1.306205,1.3051949999999999,1.306195,218
GBPUSD,MINUTE,1744364940000.0,2025-04-11 09:49:00,1.306185,1.306485,1.306095,1.306215,226
GBPUSD,MINUTE,1744365000000.0,2025-04-11 09:50:00,1.306205,1.306215,1.305645,1.306215,226
GBPUSD,MINUTE,1744365060000.0,2025-04-11 09:51:00,1.306225,1.306625,1.306195,1.306485,193
GBPUSD,MINUTE,1744365120000.0,2025-04-11 09:52:00,1.306495,1.306625,1.306175,1.306395,195
GBPUSD,MINUTE,1744365180000.0,2025-04-11 09:53:00,1.306385,1.307085,1.306375,1.307075,199
GBPUSD,MINUTE,1744365240000.0,2025-04-11 09:54:00,1.307085,1.307245,1.306585,1.307245,250
GBPUSD,MINUTE,1744365300000.0,2025-04-11 09:55:00,1.307255,1.307505,1.307175,1.307335,241
GBPUSD,MINUTE,1744365360000.0,2025-04-11 09:56:00,1.307345,1.307495,1.3072650000000001,1.307355,213
