epic,resolution,t,datetime,open,high,low,close,open_raw,high_raw,low_raw,close_raw,open_original,high_original,low_original,close_original,volume
GBPUSD,MINUTE,1744369860000.0,2025-04-11 11:11:00,1.308445,1.308805,1.308425,1.308655,1.308445,1.308805,1.308425,1.308655,1.308445,1.308805,1.308425,1.308655,245
GBPUSD,MINUTE,1744369920000.0,2025-04-11 11:12:00,1.308685,1.309135,1.308575,1.309135,1.308685,1.309135,1.308575,1.309135,1.308685,1.309135,1.308575,1.309135,209
GBPUSD,MINUTE,1744369980000.0,2025-04-11 11:13:00,1.3091249999999999,1.3094350000000001,1.309075,1.3090950000000001,1.3091249999999999,1.3094350000000001,1.309075,1.3090950000000001,1.3091249999999999,1.3094350000000001,1.309075,1.3090950000000001,220
GBPUSD,MINUTE,1744370040000.0,2025-04-11 11:14:00,1.309085,1.3091249999999999,1.308715,1.308935,1.309085,1.3091249999999999,1.308715,1.308935,1.309085,1.3091249999999999,1.308715,1.308935,199
GBPUSD,MINUTE,1744370100000.0,2025-04-11 11:15:00,1.308945,1.309275,1.308885,1.308885,1.308945,1.309275,1.308885,1.308885,1.308945,1.309275,1.308885,1.308885,222
GBPUSD,MINUTE,1744370160000.0,2025-04-11 11:16:00,1.308895,1.309005,1.308565,1.3088549999999999,1.308895,1.309005,1.308565,1.3088549999999999,1.308895,1.309005,1.308565,1.3088549999999999,228
GBPUSD,MINUTE,1744370220000.0,2025-04-11 11:17:00,1.308875,1.309225,1.308815,1.309085,1.308875,1.309225,1.308815,1.309085,1.308875,1.309225,1.308815,1.309085,206
GBPUSD,MINUTE,1744370280000.0,2025-04-11 11:18:00,1.3090950000000001,1.309625,1.308925,1.3093650000000001,1.3090950000000001,1.309625,1.308925,1.3093650000000001,1.3090950000000001,1.309625,1.308925,1.3093650000000001,212
GBPUSD,MINUTE,1744370340000.0,2025-04-11 11:19:00,1.309375,1.309405,1.309085,1.309215,1.309375,1.309405,1.309085,1.309215,1.309375,1.309405,1.309085,1.309215,170
GBPUSD,MINUTE,1744370400000.0,2025-04-11 11:20:00,1.309205,1.309845,1.308965,1.309245,1.309205,1.309845,1.308965,1.309245,1.309205,1.309845,1.308965,1.309245,250
GBPUSD,MINUTE,1744370460000.0,2025-04-11 11:21:00,1.309255,1.309655,1.308975,1.308975,1.309255,1.309655,1.308975,1.308975,1.309255,1.309655,1.308975,1.308975,202
GBPUSD,MINUTE,1744370520000.0,2025-04-11 11:22:00,1.308965,1.309215,1.308665,1.309085,1.308965,1.309215,1.308665,1.309085,1.308965,1.309215,1.308665,1.309085,213
GBPUSD,MINUTE,1744370580000.0,2025-04-11 11:23:00,1.3090950000000001,1.309285,1.308935,1.309275,1.3090950000000001,1.309285,1.308935,1.309275,1.3090950000000001,1.309285,1.308935,1.309275,172
GBPUSD,MINUTE,1744370640000.0,2025-04-11 11:24:00,1.309285,1.3099750000000001,1.309285,1.309945,1.309285,1.3099750000000001,1.309285,1.309945,1.309285,1.3099750000000001,1.309285,1.309945,196
GBPUSD,MINUTE,1744370700000.0,2025-04-11 11:25:00,1.309915,1.310195,1.309895,1.310035,1.309915,1.310195,1.309895,1.310035,1.309915,1.310195,1.309895,1.310035,198
GBPUSD,MINUTE,1744370760000.0,2025-04-11 11:26:00,1.310025,1.310425,1.309965,1.309965,1.310025,1.310425,1.309965,1.309965,1.310025,1.310425,1.309965,1.309965,187
GBPUSD,MINUTE,1744370820000.0,2025-04-11 11:27:00,1.3099750000000001,1.3099750000000001,1.3094649999999999,1.309545,1.3099750000000001,1.3099750000000001,1.3094649999999999,1.309545,1.3099750000000001,1.3099750000000001,1.3094649999999999,1.309545,186
GBPUSD,MINUTE,1744370880000.0,2025-04-11 11:28:00,1.309535,1.309575,1.308935,1.309005,1.309535,1.309575,1.308935,1.309005,1.309535,1.309575,1.308935,1.309005,245
GBPUSD,MINUTE,1744370940000.0,2025-04-11 11:29:00,1.308995,1.309105,1.308675,1.308685,1.308995,1.309105,1.308675,1.308685,1.308995,1.309105,1.308675,1.308685,178
GBPUSD,MINUTE,1744371000000.0,2025-04-11 11:30:00,1.308705,1.308765,1.308355,1.308455,1.308705,1.308765,1.308355,1.308455,1.308705,1.308765,1.308355,1.308455,241
GBPUSD,MINUTE,1744371060000.0,2025-04-11 11:31:00,1.308445,1.308985,1.308395,1.308625,1.308445,1.308985,1.308395,1.308625,1.308445,1.308985,1.308395,1.308625,178
GBPUSD,MINUTE,1744371120000.0,2025-04-11 11:32:00,1.308615,1.309085,1.308575,1.308975,1.308615,1.309085,1.308575,1.308975,1.308615,1.309085,1.308575,1.308975,200
GBPUSD,MINUTE,1744371180000.0,2025-04-11 11:33:00,1.309005,1.309485,1.308965,1.309375,1.309005,1.309485,1.308965,1.309375,1.309005,1.309485,1.308965,1.309375,202
GBPUSD,MINUTE,1744371240000.0,2025-04-11 11:34:00,1.3093650000000001,1.309485,1.309155,1.309375,1.3093650000000001,1.309485,1.309155,1.309375,1.3093650000000001,1.309485,1.309155,1.309375,192
